scientificName,Nb_Total,Nb_Rainforest,Nb_Savanna,Nb_Succulent,Nb_Other,Control,Prop_Succulent,Prop_Rainforest,Prop_Savanna,Prop_Other,Prop_Total,Biomes_with_>10%_Occurrences
Phanera aherniana (G.Perkins) de Wit,1,0,0,0,1,1,0.00,0.00,0.00,1.00,1.00,Other
"Phanera andersonii (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",2,2,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera argentea de Wit,17,17,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera audax de Wit,3,3,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera aurea (H.Lév.) Mackinder & R.Clark,18,8,10,0,0,1,0.00,0.44,0.56,0.00,1.00,Rainforest + Savanna
"Phanera aureifolia (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",2,2,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera bassacensis (Pierre ex Gagnep.) de Wit,29,24,5,0,0,1,0.00,0.83,0.17,0.00,1.00,Rainforest + Savanna
Phanera bidentata (Jack) Benth.,18,17,0,0,1,1,0.00,0.94,0.00,0.06,1.00,Rainforest
Phanera bidentata var. cornifolia (Baker) de Wit,39,25,2,6,6,1,0.15,0.64,0.05,0.15,1.00,Rainforest + Succulent
Phanera bracteata Benth.,40,23,13,0,4,1,0.00,0.58,0.33,0.10,1.00,Rainforest + Savanna
Phanera brevipedicellata (Jarvie) Mackinder & R.Clark,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
"Phanera burbidgei (Stapf) Bandyop., Ghoshal & M.K.Pathak",5,5,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
"Phanera campanulata (S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",3,3,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera cardinalis (Pierre ex Gagnep.) Sinou & Bruneau,3,3,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera chalcophylla (H.Y.Chen) Mackinder & R.Clark,2,1,0,0,1,1,0.00,0.50,0.00,0.50,1.00,Rainforest
Phanera championii Benth.,198,42,130,0,26,1,0.00,0.21,0.66,0.13,1.00,Rainforest + Savanna
Phanera coccinea Lour.,9,9,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera comosa (Craib) Bandyop. & Ghoshal,7,1,6,0,0,1,0.00,0.14,0.86,0.00,1.00,Rainforest + Savanna
Phanera concreta (Craib) Sinou & Bruneau,5,5,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera crudiantha de Wit,3,3,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera curtisii (Prain) Bandyop. & Ghoshal,16,12,4,0,0,1,0.00,0.75,0.25,0.00,1.00,Rainforest + Savanna
Phanera delavayi (Franch.) Sinou & Bruneau,19,6,13,0,0,1,0.00,0.32,0.68,0.00,1.00,Rainforest + Savanna
Phanera elmeri (Merr.) de Wit,3,3,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera erythropoda (Hayata) Mackinder & R.Clark,6,6,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera esquirolii (Gagnep.) Sinou & Bruneau,2,0,2,0,0,1,0.00,0.00,1.00,0.00,1.00,Savanna
Phanera excelsa Miq.,69,68,0,0,1,1,0.00,0.99,0.00,0.01,1.00,Rainforest
"Phanera excurrens (Stapf) Bandyop., Ghoshal & M.K.Pathak",2,2,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
"Phanera fabrilis (de Wit) Bandyop., Ghoshal & M.K.Pathak",2,2,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera ferruginea (Roxb.) Benth.,10,10,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera finlaysoniana Benth.,74,73,1,0,0,1,0.00,0.99,0.01,0.00,1.00,Rainforest
Phanera flava (de Wit) Bandyop. & Ghoshal,1,0,0,0,1,1,0.00,0.00,0.00,1.00,1.00,Other
Phanera foraminifera (Gagnep.) de Wit,14,14,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera fulva (Korth.) Benth.,8,8,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera glabrifolia Benth.,19,19,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera glabristipes de Wit,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera gracillima de Wit,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera harmsiana (Hosseus) Bandyop. & Ghoshal,14,5,9,0,0,1,0.00,0.36,0.64,0.00,1.00,Rainforest + Savanna
Phanera integrifolia (Roxb.) Benth.,60,53,0,0,7,1,0.00,0.88,0.00,0.12,1.00,Rainforest
Phanera involucellata (Kurz) de Wit,9,7,2,0,0,1,0.00,0.78,0.22,0.00,1.00,Rainforest + Savanna
Phanera japonica (Maxim.) H.Ohashi,26,4,0,0,22,1,0.00,0.15,0.00,0.85,1.00,Rainforest
Phanera khasiana (Baker) Thoth.,14,11,3,0,0,1,0.00,0.79,0.21,0.00,1.00,Rainforest + Savanna
Phanera kockiana (Korth.) Benth.,190,188,0,0,2,1,0.00,0.99,0.00,0.01,1.00,Rainforest
"Phanera kostermansii (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",3,3,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera lambiana (Baker f.) de Wit,5,5,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera lingua (DC.) Miq.,45,36,5,0,4,1,0.00,0.80,0.11,0.09,1.00,Rainforest + Savanna
Phanera lorantha (Pierre ex Gagnep.) XXXX,4,4,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera macrostachya Benth.,5,4,1,0,0,1,0.00,0.80,0.20,0.00,1.00,Rainforest + Savanna
Phanera menispermacea (Gagnep.) de Wit,5,5,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera merrilliana (G.Perkins) de Wit,9,9,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera nervosa Wall. ex Benth.,9,4,3,0,2,1,0.00,0.44,0.33,0.22,1.00,Rainforest + Savanna
Phanera ornata (Kurz) Thoth.,49,35,13,0,1,1,0.00,0.71,0.27,0.02,1.00,Rainforest + Savanna
Phanera pauciflora (Merr.) de Wit,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera paucinervata (T.C.Chen) X.Y.Zhu,2,2,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera penicilliloba (Pierre ex Gagnep.) Sinou & Bruneau,9,3,6,0,0,1,0.00,0.33,0.67,0.00,1.00,Rainforest + Savanna
Phanera pottingeri (Prain) Thoth.,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera pulla (Craib) Sinou & Bruneau,18,13,4,0,1,1,0.00,0.72,0.22,0.06,1.00,Rainforest + Savanna
Phanera pyrrhoclada (Drake) de Wit,6,4,2,0,0,1,0.00,0.67,0.33,0.00,1.00,Rainforest + Savanna
Phanera pyrrhoneura (Korth.) Benth.,3,3,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera retusa Benth.,2,0,2,0,0,1,0.00,0.00,1.00,0.00,1.00,Savanna
Phanera ridleyi (Prain) A.Schmitz,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera saigonensis (Pierre ex Gagnep.) Mackinder & R.Clark,4,3,1,0,0,1,0.00,0.75,0.25,0.00,1.00,Rainforest + Savanna
Phanera scandens (L.) Lour. ex Raf.,27,14,9,0,4,1,0.00,0.52,0.33,0.15,1.00,Rainforest + Savanna
Phanera semibifida (Roxb.) Benth.,153,153,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera similis (Craib) de Wit,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera sirindhorniae (K.Larsen & S.S.Larsen) Mackinder & R.Clark,2,1,1,0,0,1,0.00,0.50,0.50,0.00,1.00,Rainforest + Savanna
"Phanera steenisii (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",4,4,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera stipularis (Korth.) Benth.,24,24,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera strychnoidea (Prain) Bandyop. & Ghoshal,2,2,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera sylvani de Wit,6,6,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera tubicalyx (Craib) Bandyop. & Ghoshal,1,1,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera vahlii (Wight & Arn.) Benth.,2,0,1,0,1,1,0.00,0.00,0.50,0.50,1.00,Savanna
Phanera williamsii (F.Muell.) de Wit,7,7,0,0,0,1,0.00,1.00,0.00,0.00,1.00,Rainforest
Phanera wrayi (Prain) de Wit,53,51,0,0,2,1,0.00,0.96,0.00,0.04,1.00,Rainforest
Phanera yunnanensis (Franch.) Wunderlin,32,6,20,0,6,1,0.00,0.19,0.63,0.19,1.00,Rainforest + Savanna